platform,title,company,location,url
"linkedin","Software Engineer 2","Microsoft","Bengaluru, Karnataka, India","https://in.linkedin.com/jobs/view/software-engineer-2-at-microsoft-4341255173?position=13&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=mTL%2BnwKZ5hS1jWsLsxM3zw%3D%3D"
"linkedin","Software Development Engineer 3: Web Frontend","Adobe","Noida, Uttar Pradesh, India","https://in.linkedin.com/jobs/view/software-development-engineer-3-web-frontend-at-adobe-4321704459?position=14&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=6EdV57W%2BZX7wa5wk%2Fs938w%3D%3D"
"linkedin","Junior Frontend Developer (React)","Frekuent","Barcelona, Catalonia, Spain","https://es.linkedin.com/jobs/view/junior-frontend-developer-react-at-frekuent-4348352642?position=15&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=jSSgo61ntDYV0SMVGXayiA%3D%3D"
"linkedin","Software Engineer Frontend (L5) - Data Experience","Netflix","United States","https://www.linkedin.com/jobs/view/software-engineer-frontend-l5-data-experience-at-netflix-4315480236?position=16&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=eM7yj9uoTW7J%2F9AxFUrKmA%3D%3D"
"linkedin","Software Engineer","GreenSlate","Cartago, Cartago, Costa Rica","https://cr.linkedin.com/jobs/view/software-engineer-at-greenslate-4340728245?position=17&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=hozGxJfwqLywrmTiCaah0A%3D%3D"
"linkedin","Software Engineer 1","Intuit","Bengaluru, Karnataka, India","https://in.linkedin.com/jobs/view/software-engineer-1-at-intuit-4325330338?position=18&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=EulX7AfzYvm8RSa%2Fp7fNZg%3D%3D"
"linkedin","Software Engineer, Frontend","Wealthfront","New York, NY","https://www.linkedin.com/jobs/view/software-engineer-frontend-at-wealthfront-4321886768?position=19&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=LUcZPzppriIG98Bf70xumQ%3D%3D"
"linkedin","Software Engineer - Frontend","Samsung Southeast Asia & Oceania","Jakarta, Jakarta, Indonesia","https://id.linkedin.com/jobs/view/software-engineer-frontend-at-samsung-southeast-asia-oceania-4342091683?position=20&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=JW%2FaU%2B9smIO5z8tGky1OdQ%3D%3D"
"linkedin","Software Engineer","DHL","Chennai, Tamil Nadu, India","https://in.linkedin.com/jobs/view/software-engineer-at-dhl-4325250443?position=21&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=8JyOofN9gup5VuIR%2FJoVJg%3D%3D"
"linkedin","Frontend Developer (JavaScript, TypeScript & NextJS)","Acowale","Bengaluru, Karnataka, India","https://in.linkedin.com/jobs/view/frontend-developer-javascript-typescript-nextjs-at-acowale-4325815392?position=22&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=Ht6ywD5Lr2el6h%2B1OQRZ7w%3D%3D"
